gmina;Rok;nr_sprawy;lokalizacja;nr_dzialki;pow_kamieni; wartosc_kamieni 
Barg?ów Ko?cielny;2022;191;Pomiany;52/1,197/1;2,15; 4,090.00 z? 
Pu?sk;2022;192;Polu?ce;10/2;2,9; 5,530.00 z? 
Barg?ów Ko?cielny;2022;193;Pomiany;368/2,369,370;5,71; 10,880.00 z? 
Jeleniewo;2022;194;Sidorówka;59,61;3,32; 10,000.00 z? 
Barg?ów Ko?cielny;2022;195;Pomiany;38/8;4,73; 9,010.00 z? 
Jeleniewo;2022;196;?cibowo;"47,132,155/5
130,131,133,134";8,08; 15,390.00 z? 
Sejny;2022;197;Zaruby;7/10;2,8; 8,900.00 z? 
Raczki;2022;198;Szkocja;"301/7,301/10
24";3,27; 6,280.00 z? 
Sejny;2022;199;Burbiszki;162/4;6,66; 12,680.00 z? 
Jeleniewo;2022;200;Czajewszczyzna;136,138/2;2,4; 4,560.00 z? 
Krasnopol;2022;201;Jeziorki;"313
18/3,19/1";3,61; 11,040.00 z? 
Przero?l;2022;202;Prze?omka;99,102;7,17; 8,430.00 z? 
Baka?arzewo;2022;203;Malinówka;15/1,22,23/1,48,49/1;9,97; 18,990.00 z? 
Raczki;2022;204;Lipowo;17/3,18/6;4,91; 9,350.00 z? 
Wi?ajny;2022;205;Wi?ajny;12/13;2,02; 3,850.00 z? 
Lipsk;2022;206;Lipsk;763/1,763/2;9,8; 18,650.00 z? 
Jeleniewo;2022;207;Hultajewo;"17/2
91,92,93,94,95,96";4,66; 8,880.00 z? 
Suwa?ki;2022;208;Bia?a Woda;141;0,5; 9,180.00 z? 
Augustów;2022;209;Rutki Nowe;340,342,344,347;4,54; 3,800.00 z? 
Baka?arzewo;2022;210;Stary Skazdub;420,421;4,04; 7,690.00 z? 
Krasnopol;2022;211;Rosochaty Róg;7/3,24,24/1;5,73; 10,920.00 z? 
Barg?ów Ko?cielny;2022;212;Pomiany;199/1,206/1;0,5; 2,220.00 z? 
Suwa?ki;2022;213;Bia?a Woda;1/6;0,95; 1,810.00 z? 
Jeleniewo;2022;214;Zarzecze Jeleniewskie;"21/18
21/3";5; 6,000.00 z? 
Baka?arzewo;2022;215;Suchorzec;"115
168";6,89; 13,120.00 z? 
Sejny;2022;216;Nowosady;33/1,36/2,89;8,36; 25,580.00 z? 
Jeleniewo;2022;217;?ubryn;"23/2,39,41
3/1";9,88; 18,800.00 z? 
Wi?ajny;2022;218;Jegliniszki;"89,109,110
10/1,10/2";9,55; 30,300.00 z? 
Suwa?ki;2022;219;Taciewo;223/3,229/9;3,7; 7,050.00 z? 
Lipsk;2022;220;Dolinczany;"82
138";8,65; 16,470.00 z? 
Sejny;2022;221;Bosse;8/2,13;10; 30,590.00 z? 
Baka?arzewo;2022;222;Nowa Wie?;79,121/1,116;7,67; 14,600.00 z? 
Suwa?ki;2022;223;Taciewo;46/1,46/2,46/3,56;2,68; 5,260.00 z? 
Raczki;2022;224;?ubrynek;14,18,22,23,54,60;8,65; 16,470.00 z? 
Baka?arzewo;2022;225;Stary Skazdub;"117/2
379";9,13; 17,390.00 z? 
Barg?ów Ko?cielny;2022;226;Barg?ów Ko?cielny;390;2,07; 3,950.00 z? 
Barg?ów Ko?cielny;2022;227;Barg?ów Ko?cielny;433/4;5,54; 10,550.00 z? 
Barg?ów Ko?cielny;2022;228;Barg?ów Ko?cielny;439/1;1,8; 3,430.00 z? 
Baka?arzewo;2022;229;Stara Chmielówka;16/4,17,18;8,79; 16,740.00 z? 
Szypliszki;2022;230;Olszanka;"8, 9
3";6,01; 11,440.00 z? 
Augustów;2022;231;miasto Augustów;115/3,180/1;7,8; 14,860.00 z? 
Bra?sk;2023;2;Markowo;147;3,88; 6,485.00 z? 
Sokó?ka;2023;3;Malawicze Dolne;117/1;2,5; 6,120.00 z? 
Jasionówka;2023;4;??kobudy;2/1, 6/2, 7, 10/1;8,84; 7,940.00 z? 
Knyszyn;2023;5;Zofiówka;13/1, 51/5, 51/8, 54/2;8,9; 7,965.00 z? 
Rutki;2023;6;Szlasy Lipno;"2/3, 2/4
493, 494";10; 16,800.00 z? 
Rutki;2023;7;M??enin;"538
453, 544/1";6; 9,984.00 z? 
Trzcianne;2023;10;Nowa Wie?;"149/1, 736/1
21";5,83; 9,545.00 z? 
Mo?ki;2023;11;Kulesze;170/3, 184/9;2,91; 4,895.00 z? 
Trzcianne;2023;12;Zucielec;52/13,52/14,52/15,52/16,52/17,54/8,58/5;9,97; 16,835.00 z? 
Trzcianne;2023;13;Kulesze;"172/2
99/10,117/12";2,4; 4,100.00 z? 
Jasionówka;2023;14;Jaskra;"198,199
29/11";9,44; 10,685.00 z? 
Jeleniewo;2023;15;Szurpi?y;291/8,307/3,311;9,62; 12,890.00 z? 
Raczki;2023;16;Rabalina;"68/2
3/2,5/2,7/9,8/2,8/6,10/2,139";9,4; 10,340.00 z? 
Pu?sk;2023;17;Polu?ce;44,45,52;8,16; 7,540.00 z? 
Knyszyn;2023;19;Jaskra;"366,368
34/4,69/5,69/6";9,2; 14,720.00 z? 
Zawady;2023;20;Maliszewo Perkusy;39,58;9,25; 11,100.00 z? 
Micha?owo;2023;21;Folwarki Tylwickie;"511
465/2";3,13; 5,008.00 z? 
Rutki;2023;22;Rutki;"502
13/3,13/4";9,37; 12,181.00 z? 
Rutki;2023;23;M??enin;"342/2,343/4
7/4";5,75; 8,625.00 z? 
Zab?udów;2023;24;Dobrzyniówka;260/2;10; 14,500.00 z? 
Filipów;2023;25;Jemieliste;134,139/6,140/3;9,87; 9,770.00 z? 
Sejny;2023;27;Ber?a?owce;19,40;8,25; 13,568.00 z? 
Zab?udów;2023;28;Folwarki Ma?e;57/3;10; 14,500.00 z? 
Raczki;2023;29;Rabalina;16/2;8,76; 9,625.00 z? 
Giby;2023;30;Iwanówka;"83,94,98
219,234/1";7,78; 26,315.00 z? 
Wyszki;2023;33;Mieszuki;60/4;6,78; brak 
Giby;2023;34;Kukle;"18/1,24
6/7,6/9";10,01; 16,388.00 z? 
Zambrów;2023;35;Nagórki Jab?o?;"36/4,135/5
452/3,452/10,452/11,451/12,709";5,65; 5,650.00 z? 
Zab?udów;2023;36;Folwarki Wielkie;"116
175";10; 15,000.00 z? 
Bielsk Podlaski;2023;37;?oknica;"369,375
11/1,101
660/1";10; 15,000.00 z? 
Micha?owo;2023;38;Nowa Wola;118/1,539,561,565,575;10; 15,000.00 z? 
Sejny;2023;39;Ber?a?owce;1/2,48;10,4; 17,160.00 z? 
Rutka-Tartak;2023;40;Rowele;245,246/1,246/2,306/2,307/2,309/2;10,35; 16,000.00 z? 
